# x, y, z, vx, vy, vz,
-3.14714e-05,1.38193e-05,-0.000122283,-0.49263,0.954111,-0.0311632,
5.08686e-05,-3.98633e-05,9.44538e-06,0.922682,-1.75675,-0.0442892,
4.33143e-05,2.77891e-08,0.000151169,-0.0213139,-1.21024,-0.0823567,
2.96876e-05,4.92927e-05,-5.93301e-05,-1.12511,-0.955588,-0.184008,
-4.92418e-05,4.12546e-05,-2.54729e-05,-1.26751,0.981426,-0.0786678,
-3.5096e-05,1.3615e-05,-1.86312e-05,-0.267526,0.892706,-0.0669768,
-2.993e-05,5.67941e-05,5.39038e-05,-1.6254,1.0244,0.0177067,
-2.96023e-05,5.67184e-05,-2.24491e-05,-1.49535,0.570123,-0.0591922,
-5.17008e-05,2.95868e-05,-0.000104019,-0.701621,1.24606,0.0547975,
-3.54204e-05,1.86804e-06,-7.24159e-05,0.236299,1.13569,-0.0151656,
5.70188e-05,-1.10588e-05,-0.000100353,0.0796744,-1.6137,-0.102749,
-5.04072e-05,-2.66826e-05,-1.71736e-05,0.276167,1.20023,0.0373982,
-1.3506e-05,3.52933e-05,1.68239e-05,-0.735222,0.0366866,-0.0571084,
3.43204e-05,-2.85358e-06,-1.00795e-05,0.0154459,-0.968381,-0.0771506,
-5.70569e-05,2.64874e-05,6.76396e-05,-0.578417,1.66927,0.138834,
-3.29232e-05,-1.68781e-05,0.000155585,0.518364,1.08311,-0.0233146,
-4.42597e-06,-5.89283e-05,-3.08197e-05,1.28979,-0.356194,0.0111313,
2.69994e-05,1.74813e-05,0.000163115,-0.580427,-0.789092,0.0258454,
-1.56121e-05,-5.48738e-05,-7.98801e-05,1.39328,0.379294,-0.13121,
-7.80043e-06,-2.12832e-05,0.000143399,0.637454,0.342168,-0.128138,
1.29024e-05,5.60765e-05,-3.85144e-05,-1.40848,-0.150455,0.0549857,
2.4788e-05,-2.4396e-05,9.53054e-05,0.445043,-0.601616,-0.0983418,
5.7504e-05,9.35715e-06,7.14625e-05,-0.192262,-1.65019,0.146551,
-1.446e-05,5.18555e-05,-0.000123721,-1.34688,0.243328,-0.0379507,
2.34782e-05,-3.0116e-05,2.35435e-05,0.808221,-0.374812,-0.134948,
5.75999e-06,2.442e-05,0.000180235,-0.513284,0.0761184,0.177818,
7.23853e-06,3.45163e-05,-1.55098e-06,-0.728112,-0.127891,-0.259207,
3.4623e-05,-5.2123e-05,-8.98586e-05,0.964686,-0.860645,0.057394,
-3.05693e-05,-4.75464e-05,-2.56161e-05,1.39047,0.840754,0.159335,
-4.41193e-05,4.75123e-05,7.50223e-05,-0.945772,1.28872,-0.162631,
5.02136e-06,-4.76024e-05,0.000138761,1.35509,-0.239646,0.0479983,
-2.68182e-06,3.42931e-05,-0.000166431,-0.863935,-0.182836,-0.0170796,
