# x, y, z, vx, vy, vz,
-0.00011611,4.60458e-06,-2.43699e-05,0.0377127,1.19484,-0.18491,
2.8468e-05,-0.000112076,2.90667e-05,-0.713762,-1.60066,0.916364,
-1.76124e-05,-0.000114026,3.53354e-05,-0.956352,0.377834,-0.939059,
9.71437e-05,-6.58421e-05,3.78076e-05,-0.03682,-0.720508,1.16148,
-3.46757e-05,-0.000109801,1.47398e-06,1.11659,0.754598,-0.100649,
8.17996e-05,7.55385e-05,-4.56494e-06,-0.510392,-0.297589,0.342616,
0.000100352,4.97311e-05,-4.03853e-05,0.279994,-2.18098,-0.588059,
0.00010955,-3.11344e-05,-3.97342e-05,0.405931,-1.39338,0.931692,
1.98974e-05,0.000109207,-4.45613e-05,-1.56312,0.660006,-1.47351,
-6.5493e-05,0.000101128,-1.82089e-06,-1.63012,1.47311,0.578796,
0.000113617,1.36178e-05,-3.65388e-05,0.0959516,-0.918547,0.756884,
-0.000111201,4.03606e-05,2.91307e-06,0.264873,2.18159,0.0308911,
-3.22407e-05,0.000114038,-1.39747e-05,-1.69831,-0.171415,-0.301218,
-0.000107784,4.31086e-05,-3.62942e-05,-0.732168,1.86584,-0.433387,
3.93778e-05,0.000104055,3.21717e-05,-1.12097,-0.834182,0.246454,
-5.07689e-05,-9.77191e-05,-4.05653e-05,1.36704,0.414123,1.33454,
-0.000115078,-1.82188e-07,1.03937e-05,-0.484885,1.42284,0.839294,
0.000110625,-5.0037e-05,-3.45506e-06,-0.891014,-2.28366,1.22467,
-3.58581e-05,0.000107839,-4.52072e-05,-0.702981,-0.53747,0.111573,
4.76929e-05,0.000104286,-8.82284e-06,-1.00439,-1.48259,-1.44503,
-9.45368e-05,7.59377e-05,-8.65841e-06,-0.443968,0.748372,0.46918,
7.19199e-05,-9.58928e-05,3.28837e-05,2.15648,-0.764293,-0.315533,
6.8823e-05,8.65254e-05,-3.92225e-05,-0.874324,-2.50199,-0.136351,
-1.14056e-05,-0.000112226,-3.93954e-05,1.98787,-0.999507,0.467107,
-5.60607e-05,-9.54327e-05,3.71823e-05,0.90144,1.83017,-0.0245515,
9.56425e-05,-7.1571e-05,-3.9852e-05,1.26653,-0.999719,-0.00752317,
0.000115417,5.70307e-06,2.91526e-05,0.659252,-2.28903,-0.0159864,
-3.71083e-05,0.000113185,2.4229e-05,-2.42084,-0.184521,-0.105794,
5.14556e-05,-0.000107736,2.01738e-06,1.6151,0.23756,0.599032,
2.28927e-06,0.000113439,3.03395e-05,-0.174225,1.02202,0.201907,
6.72148e-05,-9.55546e-05,-3.51208e-05,1.06857,-0.421365,-1.30004,
-0.000107163,-3.47828e-05,3.81154e-05,-0.0860038,2.1194,-0.760864,
-0.000105668,-4.44926e-05,2.0726e-06,-0.449233,1.31883,-0.658262,
-6.93715e-05,-8.84915e-05,-3.52772e-06,0.95422,1.80669,0.558664,
-8.70585e-05,-6.89994e-05,2.31298e-05,1.19164,-0.295821,-2.35012,
-8.62636e-05,-6.90747e-05,-3.68616e-05,1.59999,-0.312944,0.576471,
0.000112861,-3.00143e-05,2.65954e-05,1.33825,-0.217948,0.0356756,
0.000115765,-3.42714e-06,-5.08009e-06,-0.35412,-0.704751,0.290038,
3.12447e-05,-0.000111605,-3.27653e-05,-0.256937,-0.927294,0.779023,
7.06372e-05,8.77464e-05,3.32521e-05,-0.232039,-2.09482,-0.427079,
8.07747e-06,0.000115233,-1.09913e-05,-0.33646,0.596687,1.98518,
-8.14377e-05,8.61788e-05,-4.0032e-05,-0.556018,1.27978,-1.64227,
-7.02138e-05,9.50971e-05,3.41902e-05,-0.601821,1.66903,-0.7347,
0.000101963,4.81832e-05,3.32301e-05,-0.598549,-2.53305,-0.0454576,
8.79608e-05,-8.32609e-05,2.5991e-06,0.708559,-1.68342,-0.73582,
-0.000112306,2.27837e-05,3.90355e-05,0.821259,1.36556,0.26273,
0.000104723,4.24397e-05,-9.39386e-07,-0.718211,-2.70748,0.219631,
-0.000100482,6.28456e-05,3.40864e-05,-0.46315,2.15929,-0.0938033,
-0.000109379,-3.04824e-05,-3.48017e-05,0.669368,2.32271,-1.79624,
4.38795e-06,-0.000117661,-2.77911e-06,0.800631,0.414798,1.57241,
